club_short,player_type,name,notes_young,notes_unavail,notes_notam,notes_can
MIN,UNAVAILABLE PLAYERS,Mikael Marques,FALSE,FALSE,FALSE,FALSE
MTL,INTERNATIONAL SLOT,Matías Cóccaro,FALSE,FALSE,FALSE,FALSE
MTL,INTERNATIONAL SLOT,Gabriele Corbo ,FALSE,FALSE,FALSE,TRUE
MTL,INTERNATIONAL SLOT,Sunusi Ibrahim ,FALSE,FALSE,FALSE,TRUE
MTL,INTERNATIONAL SLOT,Lassi Lappalainen ,FALSE,FALSE,FALSE,TRUE
MTL,INTERNATIONAL SLOT,Chinonso Offor,FALSE,TRUE,FALSE,FALSE
MTL,INTERNATIONAL SLOT,Kwadwo Opoku,FALSE,FALSE,FALSE,FALSE
MTL,INTERNATIONAL SLOT,Joaquín Sosa,FALSE,FALSE,FALSE,FALSE
MTL,INTERNATIONAL SLOT,Róbert Thorkelsson,FALSE,TRUE,FALSE,FALSE
MTL,INTERNATIONAL SLOT,Victor Wanyama,FALSE,FALSE,FALSE,FALSE
